Make,Model,Year,Engine HP,Engine Cylinders,Transmission Type,Vehicle Size,Vehicle Style,city mpg,highway MPG,MSRP
hyundai,entourage,2007,242.0,6.0,automatic,midsize,passenger minivan,16,23,23895
honda,civic del sol,1995,160.0,4.0,manual,compact,coupe,23,27,2033
chevrolet,silverado 1500 classic,2007,310.0,8.0,automatic,large,extended cab pickup,13,18,33425
toyota,matrix,2011,158.0,4.0,manual,compact,4dr hatchback,21,28,19565
ferrari,458 italia,2013,562.0,8.0,automated_manual,compact,coupe,13,17,233509
hyundai,sonata,2016,245.0,4.0,automatic,midsize,sedan,23,32,28925
toyota,tacoma,2017,278.0,6.0,automatic,compact,extended cab pickup,18,23,33770
toyota,paseo,1997,93.0,4.0,manual,compact,coupe,26,34,2000
volvo,240,1991,114.0,4.0,manual,midsize,sedan,19,26,2000
bentley,continental gt,2015,567.0,12.0,automatic,midsize,coupe,12,21,203500
pontiac,torrent,2008,185.0,6.0,automatic,compact,4dr suv,17,24,25145
chevrolet,prizm,2000,125.0,4.0,manual,compact,sedan,27,34,2130
volkswagen,new beetle,2008,150.0,5.0,automatic,compact,2dr hatchback,20,29,20525
bmw,4 series gran coupe,2015,240.0,4.0,automatic,midsize,sedan,22,33,42300
subaru,loyale,1993,90.0,4.0,manual,compact,sedan,21,26,2000
ford,mustang,2015,300.0,6.0,manual,midsize,coupe,17,28,23800
pontiac,sunbird,1994,110.0,4.0,manual,compact,coupe,22,32,2000
infiniti,qx80,2016,400.0,8.0,automatic,large,4dr suv,13,19,66350
mazda,cx-7,2012,244.0,4.0,automatic,midsize,4dr suv,18,24,26455
lexus,es 300,2003,210.0,6.0,automatic,midsize,sedan,18,27,31725
toyota,sienna,2015,266.0,6.0,automatic,large,passenger minivan,18,25,45120
chevrolet,colorado,2016,200.0,4.0,automatic,compact,crew cab pickup,20,27,27920
acura,rlx,2017,310.0,6.0,automatic,midsize,sedan,20,30,60450
honda,pilot,2017,280.0,6.0,automatic,midsize,4dr suv,19,27,38055
gmc,envoy,2007,291.0,6.0,automatic,midsize,4dr suv,14,20,26760
volkswagen,gti,2013,200.0,4.0,automated_manual,compact,4dr hatchback,24,33,29895
chevrolet,equinox,2015,182.0,4.0,automatic,compact,4dr suv,22,32,28170
oldsmobile,silhouette,2002,185.0,6.0,automatic,midsize,passenger minivan,16,22,33925
chevrolet,s-10,2002,190.0,6.0,automatic,compact,extended cab pickup,14,18,25990
volkswagen,beetle convertible,2016,170.0,4.0,automatic,compact,convertible,25,34,28070
bentley,continental gt,2016,626.0,12.0,automatic,midsize,coupe,12,21,239400
hyundai,santa fe,2017,290.0,6.0,automatic,midsize,4dr suv,17,22,40450
mercedes-benz,sls amg gt,2014,622.0,8.0,automated_manual,compact,coupe,13,17,275000
toyota,sequoia,2016,381.0,8.0,automatic,large,4dr suv,13,17,57340
subaru,forester,2016,250.0,4.0,automatic,midsize,4dr suv,23,28,33795
volkswagen,routan,2010,197.0,6.0,automatic,midsize,passenger minivan,16,23,32600
audi,100,1994,172.0,6.0,manual,midsize,sedan,17,22,2000
ford,explorer,2016,365.0,6.0,automatic,midsize,4dr suv,16,22,43500
ford,transit wagon,2016,275.0,6.0,automatic,large,passenger van,14,19,39580
nissan,titan,2017,390.0,8.0,automatic,large,crew cab pickup,15,21,55400
fiat,500,2017,160.0,4.0,manual,compact,convertible,28,33,21490
cadillac,xlr-v,2007,443.0,8.0,automatic,compact,convertible,13,20,97460
volkswagen,gli,2012,200.0,4.0,automated_manual,midsize,sedan,24,32,26895
honda,accord,2016,185.0,4.0,manual,midsize,sedan,23,34,25580
hyundai,santa fe sport,2016,265.0,4.0,automatic,midsize,4dr suv,19,27,31250
volvo,xc60,2015,240.0,4.0,automatic,midsize,4dr suv,24,31,40250
bentley,arnage,2009,500.0,8.0,automatic,large,sedan,10,14,270990
lincoln,zephyr,2006,221.0,6.0,automatic,midsize,sedan,17,26,28995
volkswagen,beetle convertible,2015,210.0,4.0,automated_manual,compact,convertible,23,29,30995
nissan,370z,2015,332.0,6.0,manual,compact,coupe,18,26,37070
volvo,240,1992,114.0,4.0,manual,midsize,wagon,19,26,2000
acura,mdx,2017,290.0,6.0,automatic,midsize,4dr suv,19,26,58400
chevrolet,corvette,2016,455.0,8.0,manual,compact,coupe,17,29,59855
chevrolet,corvette,2017,650.0,8.0,manual,compact,coupe,15,22,79450
gmc,safari cargo,2005,190.0,6.0,automatic,large,cargo minivan,15,20,22930
toyota,tundra,2015,381.0,8.0,automatic,large,crew cab pickup,13,18,33980
hyundai,xg300,2001,192.0,6.0,automatic,midsize,sedan,17,25,24999
cadillac,xts,2015,304.0,6.0,automatic,large,sedan,18,28,54670
chevrolet,c/k 1500 series,1997,200.0,6.0,manual,large,regular cab pickup,14,18,2949
chevrolet,c/k 1500 series,1997,200.0,6.0,manual,large,regular cab pickup,14,18,2541
ford,explorer sport trac,2009,210.0,6.0,automatic,compact,crew cab pickup,13,19,32360
lincoln,navigator,2015,365.0,6.0,automatic,large,4dr suv,16,22,61480
lexus,gx 460,2017,301.0,8.0,automatic,midsize,4dr suv,15,18,51280
honda,civic del sol,1995,102.0,4.0,manual,compact,coupe,30,37,2000
chevrolet,colorado,2012,185.0,4.0,automatic,compact,regular cab pickup,17,23,24440
lexus,gs 350,2017,311.0,6.0,automatic,midsize,sedan,20,28,50695
volkswagen,tiguan,2017,200.0,4.0,automatic,compact,4dr suv,20,24,32070
chevrolet,silverado 1500 classic,2007,295.0,8.0,automatic,large,crew cab pickup,13,17,31465
dodge,ram pickup 1500,2010,310.0,8.0,automatic,large,regular cab pickup,13,18,25065
acura,tl,2012,305.0,6.0,automatic,midsize,sedan,18,26,39255
porsche,911,2017,540.0,6.0,automated_manual,compact,convertible,20,29,171500
hyundai,elantra gt,2017,173.0,4.0,manual,compact,4dr hatchback,24,32,18800
dodge,ram cargo,2001,225.0,8.0,automatic,midsize,cargo van,12,17,20240
acura,mdx,2016,290.0,6.0,automatic,midsize,4dr suv,19,27,48640
chevrolet,prizm,2001,125.0,4.0,manual,compact,sedan,27,37,16220
ford,f-250,1999,220.0,8.0,manual,large,extended cab pickup,13,17,3560
mitsubishi,outlander sport,2017,168.0,4.0,automatic,compact,4dr suv,23,28,24195
gmc,savana,2015,285.0,8.0,automatic,midsize,passenger van,11,17,34015
audi,allroad quattro,2004,250.0,6.0,manual,midsize,wagon,14,21,39950
chevrolet,corvette,2016,650.0,8.0,manual,compact,coupe,15,22,88345
lamborghini,gallardo,2014,570.0,10.0,manual,compact,convertible,13,20,251600
dodge,durango,2015,290.0,6.0,automatic,large,4dr suv,17,24,43595
hyundai,genesis coupe,2014,348.0,6.0,automatic,midsize,coupe,16,25,34600
bmw,1 series,2013,300.0,6.0,manual,compact,coupe,20,28,39600
aston martin,rapide s,2016,552.0,12.0,automatic,large,sedan,14,22,206000
porsche,cayman,2016,325.0,6.0,manual,compact,coupe,20,28,64100
suzuki,equator,2012,152.0,4.0,manual,compact,extended cab pickup,19,23,17899
chevrolet,silverado 1500,2017,355.0,8.0,automatic,large,crew cab pickup,16,23,40375
acura,ilx,2016,201.0,4.0,automated_manual,compact,sedan,25,36,29200
infiniti,ex,2011,297.0,6.0,automatic,midsize,4dr suv,17,24,38800
mazda,6,2017,184.0,4.0,automatic,midsize,sedan,26,35,22995
chevrolet,metro,2001,79.0,4.0,automatic,compact,sedan,26,31,12515
dodge,nitro,2009,210.0,6.0,automatic,midsize,4dr suv,16,22,22240
mitsubishi,expo,1993,136.0,4.0,manual,compact,4dr hatchback,19,26,2000
bmw,7 series,2017,320.0,6.0,automatic,large,sedan,21,29,81500
ford,fiesta,2017,120.0,4.0,manual,compact,sedan,27,35,15360
volvo,xc60,2015,300.0,6.0,automatic,midsize,4dr suv,17,24,41550
nissan,murano,2015,260.0,6.0,automatic,midsize,4dr suv,21,28,38550
volkswagen,cabrio,2002,115.0,4.0,manual,compact,convertible,21,28,19600
suzuki,esteem,2001,122.0,4.0,automatic,compact,wagon,26,30,16699
chevrolet,malibu,2016,250.0,4.0,automatic,midsize,sedan,22,33,30920
saab,900,1998,185.0,4.0,manual,compact,convertible,18,25,2268
ford,f-150 heritage,2004,202.0,6.0,manual,large,regular cab pickup,13,18,26030
toyota,4runner,2016,270.0,6.0,automatic,midsize,4dr suv,17,22,36690
nissan,sentra,2016,130.0,4.0,manual,midsize,sedan,27,36,16780
lamborghini,gallardo,2014,570.0,10.0,automated_manual,compact,coupe,13,20,241200
hyundai,santa fe sport,2015,190.0,4.0,automatic,midsize,4dr suv,20,27,24950
acura,mdx,2017,290.0,6.0,automatic,midsize,4dr suv,18,26,50360
honda,accord hybrid,2015,196.0,4.0,automatic,midsize,sedan,50,45,32055
buick,lucerne,2009,227.0,6.0,automatic,large,sedan,17,26,30770
infiniti,q60 coupe,2015,330.0,6.0,automatic,midsize,coupe,19,27,40950
buick,lacrosse,2017,310.0,6.0,automatic,large,sedan,21,31,41065
honda,accord crosstour,2010,271.0,6.0,automatic,midsize,4dr hatchback,18,27,34770
dodge,journey,2015,283.0,6.0,automatic,midsize,4dr suv,16,24,29995
mercedes-benz,glk-class,2013,200.0,4.0,automatic,midsize,4dr suv,24,33,38590
suzuki,xl7,2008,252.0,6.0,automatic,midsize,4dr suv,16,22,25099
audi,r8,2014,430.0,8.0,manual,compact,convertible,11,20,128400
ford,taurus x,2008,260.0,6.0,automatic,large,wagon,16,24,29770
ford,f-150,2015,325.0,6.0,automatic,large,crew cab pickup,19,26,37665
dodge,ramcharger,1992,230.0,8.0,manual,midsize,2dr suv,11,14,2000
nissan,350z,2009,306.0,6.0,manual,compact,convertible,17,24,41570
maserati,coupe,2004,390.0,8.0,automated_manual,compact,coupe,10,16,85174
oldsmobile,cutlass ciera,1992,160.0,6.0,automatic,midsize,sedan,17,24,2000
cadillac,dts,2009,292.0,8.0,automatic,large,sedan,15,22,54230
infiniti,q70,2015,416.0,8.0,automatic,large,sedan,16,24,64550
cadillac,cts coupe,2012,318.0,6.0,automatic,midsize,coupe,18,27,40615
mazda,3,2016,184.0,4.0,automatic,compact,4dr hatchback,27,37,26495
saab,9-3,2010,207.0,4.0,automatic,midsize,sedan,17,27,32395
mercedes-benz,e-class,2015,302.0,6.0,automatic,midsize,sedan,20,28,54800
chrysler,new yorker,1994,214.0,6.0,automatic,large,sedan,16,24,2000
nissan,350z,2008,306.0,6.0,manual,compact,coupe,18,25,36740
buick,regal,2016,259.0,4.0,automatic,midsize,sedan,21,30,31900
ford,explorer,2016,290.0,6.0,automatic,midsize,4dr suv,16,23,35400
chevrolet,silverado 1500,2017,285.0,6.0,automatic,large,extended cab pickup,18,24,36515
hyundai,sonata hybrid,2017,193.0,4.0,automatic,midsize,sedan,38,43,30100
audi,a6,2016,240.0,6.0,automatic,midsize,sedan,25,38,63700
hyundai,tucson,2017,175.0,4.0,automated_manual,compact,4dr suv,24,28,31175
nissan,versa note,2016,109.0,4.0,automatic,compact,4dr hatchback,31,40,15480
cadillac,srx,2015,308.0,6.0,automatic,midsize,4dr suv,16,23,48840
chevrolet,sonic,2017,138.0,4.0,manual,compact,4dr hatchback,25,33,17580
oldsmobile,cutlass ciera,1992,110.0,4.0,automatic,midsize,wagon,19,28,2000
toyota,celica,2005,140.0,4.0,automatic,compact,2dr hatchback,25,33,18470
lincoln,mkz,2017,245.0,4.0,automatic,midsize,sedan,20,28,41400
nissan,350z,2007,306.0,6.0,manual,compact,convertible,17,24,35550
ford,expedition,2016,365.0,6.0,automatic,large,4dr suv,15,20,48360
acura,ilx,2015,150.0,4.0,automatic,compact,sedan,24,35,31750
volkswagen,jetta sportwagen,2014,170.0,5.0,manual,compact,wagon,23,33,20995
bmw,x5,2015,255.0,6.0,automatic,midsize,4dr suv,24,31,57700
cadillac,ct6,2016,265.0,4.0,automatic,large,sedan,22,31,53495
mercedes-benz,gls-class,2017,449.0,8.0,automatic,large,4dr suv,14,18,93850
kia,forte,2016,173.0,4.0,automatic,compact,coupe,25,34,19890
dodge,ram 250,1993,180.0,6.0,manual,large,regular cab pickup,11,16,2000
hyundai,tiburon,2008,172.0,6.0,automatic,compact,2dr hatchback,17,24,21270
audi,allroad,2014,220.0,4.0,automatic,midsize,wagon,20,27,43300
hyundai,sonata,2017,245.0,4.0,automatic,midsize,sedan,22,31,26600
gmc,sierra 1500,2017,285.0,6.0,automatic,large,regular cab pickup,18,24,28595
bmw,4 series gran coupe,2015,300.0,6.0,automatic,midsize,sedan,20,31,47800
chevrolet,corvette,2017,460.0,8.0,manual,compact,coupe,16,25,75195
dodge,grand caravan,2015,283.0,6.0,automatic,midsize,passenger minivan,17,25,21795
chevrolet,black diamond avalanche,2013,320.0,8.0,automatic,large,crew cab pickup,15,21,39030
ferrari,599,2010,611.0,12.0,manual,midsize,coupe,11,15,310543
mazda,b-series pickup,1999,160.0,6.0,automatic,compact,extended cab pickup,15,20,3221
dodge,journey,2016,283.0,6.0,automatic,midsize,4dr suv,16,24,29795
dodge,dakota,2008,210.0,6.0,automatic,compact,crew cab pickup,15,20,26935
ford,ltd crown victoria,1991,150.0,8.0,automatic,large,wagon,15,22,2000
acura,cl,2003,260.0,6.0,automatic,midsize,coupe,17,27,30550
dodge,journey,2015,283.0,6.0,automatic,midsize,4dr suv,16,24,33295
gmc,yukon,2015,420.0,8.0,automatic,large,4dr suv,14,21,67520
kia,sorento,2016,290.0,6.0,automatic,midsize,4dr suv,18,26,32100
chevrolet,silverado 1500,2015,285.0,6.0,automatic,large,regular cab pickup,17,22,30045
plymouth,acclaim,1994,106.0,4.0,automatic,compact,sedan,19,25,2000
kia,sedona,2015,276.0,6.0,automatic,midsize,passenger minivan,18,24,26100
acura,integra,2001,170.0,4.0,manual,compact,sedan,22,28,22600
gmc,jimmy,2001,190.0,6.0,automatic,midsize,4dr suv,14,18,31925
infiniti,g coupe,2013,348.0,6.0,manual,midsize,coupe,17,25,51200
volkswagen,gli,2012,200.0,4.0,automated_manual,midsize,sedan,24,32,24845
buick,encore,2016,138.0,4.0,automatic,compact,4dr suv,23,30,27855
dodge,journey,2016,283.0,6.0,automatic,midsize,4dr suv,16,24,33695
cadillac,ats coupe,2016,272.0,4.0,automatic,compact,coupe,22,31,45445
scion,xd,2013,128.0,4.0,automatic,compact,4dr hatchback,27,33,16545
scion,tc,2016,179.0,4.0,manual,compact,2dr hatchback,23,31,19385
honda,ridgeline,2014,250.0,6.0,automatic,large,crew cab pickup,15,21,30720
cadillac,seville,2002,300.0,8.0,automatic,large,sedan,16,25,49705
pontiac,solstice,2007,260.0,4.0,manual,compact,convertible,19,28,26515
volvo,xc70,2016,250.0,5.0,automatic,midsize,wagon,19,26,48175
volvo,850,1997,240.0,5.0,automatic,midsize,wagon,17,24,2091
bmw,7 series,2016,320.0,6.0,automatic,large,sedan,21,29,81300
infiniti,q50,2017,208.0,4.0,automatic,midsize,sedan,23,31,42300
scion,fr-s,2016,200.0,4.0,manual,compact,coupe,22,30,25305
honda,cr-v,2016,185.0,4.0,automatic,compact,4dr suv,25,31,29745
suzuki,vitara,2002,127.0,4.0,automatic,compact,convertible suv,20,23,17999
mercedes-benz,e-class,2016,329.0,6.0,automatic,midsize,sedan,20,28,65600
mazda,b-series,2001,140.0,4.0,manual,compact,regular cab pickup,21,26,14695
toyota,pickup,1994,150.0,6.0,manual,compact,regular cab pickup,14,17,2281
volkswagen,golf gti,2016,220.0,4.0,manual,compact,2dr hatchback,25,34,26490
kia,sorento,2017,185.0,4.0,automatic,midsize,4dr suv,21,28,26700
volvo,xc70,2016,250.0,5.0,automatic,midsize,wagon,19,26,42050
mercedes-benz,cl-class,2012,621.0,12.0,automatic,large,coupe,12,18,211000
honda,accord crosstour,2011,271.0,6.0,automatic,midsize,4dr hatchback,18,26,36540
chevrolet,silverado 1500,2017,355.0,8.0,automatic,large,crew cab pickup,15,20,47175
volkswagen,gti,2013,200.0,4.0,automated_manual,compact,4dr hatchback,24,33,29895
honda,hr-v,2016,141.0,4.0,manual,compact,4dr suv,25,34,19215
volkswagen,gli,2009,200.0,4.0,automated_manual,compact,sedan,22,29,25870
aston martin,v8 vantage,2015,430.0,8.0,automated_manual,compact,coupe,14,21,123695
volkswagen,beetle,2015,210.0,4.0,automated_manual,compact,2dr hatchback,24,30,31625
pontiac,g6,2009,164.0,4.0,automatic,midsize,sedan,22,30,21165
toyota,yaris,2017,106.0,4.0,automatic,compact,4dr hatchback,30,35,16375
fiat,124 spider,2017,160.0,4.0,manual,compact,convertible,26,35,27495
infiniti,qx50,2017,325.0,6.0,automatic,midsize,4dr suv,17,24,34450
volvo,xc70,2016,240.0,4.0,automatic,midsize,wagon,23,31,41550
aston martin,dbs,2011,510.0,12.0,manual,midsize,coupe,11,17,268660
bentley,continental gt,2016,582.0,12.0,automatic,midsize,convertible,12,20,236100
toyota,tacoma,2016,278.0,6.0,manual,compact,extended cab pickup,17,20,31680
volkswagen,jetta gli,2013,200.0,4.0,automated_manual,midsize,sedan,24,32,27295
kia,rio,2017,138.0,4.0,automatic,compact,sedan,27,36,15395
chevrolet,venture,2004,185.0,6.0,automatic,midsize,passenger minivan,17,24,30575
toyota,paseo,1997,93.0,4.0,manual,compact,convertible,25,32,2178
nissan,frontier,2017,261.0,6.0,manual,compact,crew cab pickup,16,21,29700
aston martin,rapide,2010,470.0,12.0,automatic,large,sedan,13,19,197850
hyundai,elantra touring,2012,138.0,4.0,manual,compact,4dr hatchback,23,31,15995
buick,lesabre,2003,205.0,6.0,automatic,large,sedan,17,27,31420
gmc,s-15,1990,105.0,4.0,manual,compact,regular cab pickup,21,25,2000
pontiac,firebird,2001,310.0,8.0,automatic,midsize,2dr hatchback,16,23,24035
ford,focus,2015,160.0,4.0,manual,compact,sedan,26,36,17170
chevrolet,astro,2005,190.0,6.0,automatic,large,passenger minivan,14,20,24430
ferrari,575m,2002,515.0,12.0,manual,compact,coupe,9,15,214670
dodge,dakota,2008,210.0,6.0,automatic,compact,crew cab pickup,15,20,26920
volvo,xc90,2017,316.0,4.0,automatic,large,4dr suv,20,25,55600
cadillac,ats,2015,272.0,4.0,automatic,compact,sedan,20,28,46715
volkswagen,golf gti,2015,210.0,4.0,manual,compact,4dr hatchback,25,34,25385
honda,civic,2017,158.0,4.0,automatic,compact,coupe,30,39,19950
hyundai,elantra coupe,2013,148.0,4.0,automatic,compact,coupe,27,37,20895
volvo,xc60,2015,325.0,6.0,automatic,midsize,4dr suv,17,24,47200
toyota,sienna,2017,296.0,6.0,automatic,large,passenger minivan,18,24,35080
suzuki,aerio,2007,155.0,4.0,automatic,compact,sedan,22,28,16199
acura,integra,2001,140.0,4.0,automatic,compact,sedan,21,28,21000
porsche,911,2016,400.0,6.0,manual,compact,convertible,19,27,110800
volkswagen,golf sportwagen,2015,170.0,4.0,manual,compact,wagon,25,36,21395
chrysler,crossfire,2008,215.0,6.0,manual,compact,2dr hatchback,15,23,34735
lexus,lx 470,2007,268.0,8.0,automatic,midsize,4dr suv,12,15,67395
mitsubishi,eclipse spyder,2010,265.0,6.0,automatic,compact,convertible,16,24,32599
suzuki,xl7,2008,252.0,6.0,automatic,midsize,4dr suv,15,22,29149
nissan,axxess,1990,138.0,4.0,manual,compact,passenger minivan,19,24,2000
audi,a3,2015,220.0,4.0,automated_manual,compact,convertible,23,32,38600
ford,explorer sport,2002,203.0,6.0,automatic,midsize,2dr suv,15,20,24615
chevrolet,c/k 1500 series,1997,200.0,6.0,manual,large,regular cab pickup,15,20,2268
honda,accord,2016,185.0,4.0,manual,midsize,coupe,23,34,23875
bmw,6 series,2016,315.0,6.0,automatic,midsize,coupe,20,31,77300
mazda,5,2013,157.0,4.0,automatic,compact,passenger minivan,22,28,24470
mazda,tribute,2011,171.0,4.0,automatic,compact,4dr suv,21,28,23740
oldsmobile,cutlass ciera,1992,160.0,6.0,automatic,midsize,wagon,17,27,2000
chevrolet,camaro,2017,275.0,4.0,manual,midsize,coupe,20,30,25905
dodge,durango,2015,360.0,8.0,automatic,large,4dr suv,14,23,39995
acura,rsx,2004,160.0,4.0,manual,compact,2dr hatchback,24,30,20025
toyota,mr2,1995,200.0,4.0,manual,compact,coupe,18,25,2462
toyota,tundra,2015,381.0,8.0,automatic,large,extended cab pickup,13,17,41385
kia,sephia,1999,125.0,4.0,manual,compact,sedan,21,28,2000
chevrolet,colorado,2012,185.0,4.0,manual,compact,regular cab pickup,18,24,20980
chevrolet,c/k 1500 series,1997,200.0,6.0,manual,large,extended cab pickup,14,18,2925
toyota,matrix,2013,132.0,4.0,manual,compact,4dr hatchback,26,32,19275
acura,legend,1994,230.0,6.0,manual,midsize,sedan,16,24,2066
suzuki,equator,2010,261.0,6.0,automatic,compact,crew cab pickup,15,19,27825
mazda,b-series,2001,150.0,6.0,manual,compact,regular cab pickup,15,21,15125
nissan,frontier,2016,261.0,6.0,automatic,compact,crew cab pickup,15,21,26750
gmc,jimmy,2000,190.0,6.0,unknown,compact,2dr suv,14,18,2578
dodge,challenger,2016,485.0,8.0,manual,large,coupe,14,23,49195
cadillac,escalade,2016,420.0,8.0,automatic,large,4dr suv,15,21,75570
dodge,dakota,2009,210.0,6.0,automatic,compact,crew cab pickup,14,18,29355
chrysler,200,2016,184.0,4.0,automatic,midsize,sedan,23,36,25690
volkswagen,tiguan,2015,200.0,4.0,automatic,compact,4dr suv,21,26,33590
chevrolet,suburban,2015,355.0,8.0,automatic,large,4dr suv,16,23,54205
toyota,tundra,2017,381.0,8.0,automatic,large,extended cab pickup,13,17,36480
nissan,juke,2015,188.0,4.0,automatic,compact,4dr hatchback,26,31,24150
dodge,ram pickup 1500,2009,210.0,6.0,automatic,large,regular cab pickup,14,20,21820
toyota,camry,2017,268.0,6.0,automatic,midsize,sedan,21,30,31370
subaru,b9 tribeca,2007,245.0,6.0,automatic,midsize,4dr suv,16,21,32495
chevrolet,c/k 1500 series,1997,200.0,6.0,manual,large,regular cab pickup,15,20,2366
nissan,200sx,1998,115.0,4.0,manual,compact,coupe,25,35,2000
subaru,legacy,2015,175.0,4.0,automatic,midsize,sedan,26,36,23495
dodge,ram 150,1992,180.0,6.0,manual,large,regular cab pickup,14,17,2000
gmc,sonoma,2002,190.0,6.0,automatic,compact,extended cab pickup,14,18,20793
mazda,6,2016,184.0,4.0,manual,midsize,sedan,25,37,23945
audi,a4,2016,220.0,4.0,automatic,midsize,sedan,22,31,35900
hyundai,sonata,2015,245.0,4.0,automatic,midsize,sedan,23,32,28575
volkswagen,golf sportwagen,2016,170.0,4.0,automatic,compact,wagon,25,35,22725
gmc,yukon xl,2016,420.0,8.0,automatic,large,4dr suv,14,20,71025
oldsmobile,bravada,2003,275.0,6.0,automatic,midsize,4dr suv,13,19,35345
volkswagen,beetle,2015,170.0,4.0,automatic,compact,2dr hatchback,25,33,26985
lincoln,mark vii,1990,225.0,8.0,automatic,large,coupe,15,22,2000
chevrolet,traverse,2015,281.0,6.0,automatic,midsize,4dr suv,16,23,32995
toyota,corolla,2017,132.0,4.0,automatic,compact,sedan,28,35,20445
cadillac,ats coupe,2015,321.0,6.0,automatic,compact,coupe,18,28,48165
ford,fusion hybrid,2015,188.0,4.0,automatic,midsize,sedan,44,41,32330
subaru,legacy,2015,175.0,4.0,automatic,midsize,sedan,26,36,23795
mazda,protege,2001,103.0,4.0,manual,compact,sedan,25,31,12765
gmc,sierra 1500 classic,2007,295.0,8.0,automatic,large,extended cab pickup,13,17,33495
cadillac,cts coupe,2014,318.0,6.0,automatic,midsize,coupe,18,27,41495
ford,flex,2017,287.0,6.0,automatic,large,wagon,16,22,34680
kia,sportage,2016,182.0,4.0,automatic,compact,4dr suv,19,26,23650
nissan,armada,2014,317.0,8.0,automatic,large,4dr suv,13,19,49960
honda,accord,2016,278.0,6.0,automatic,midsize,sedan,21,34,32745
mercedes-benz,300-class,1993,177.0,6.0,automatic,midsize,wagon,15,19,2544
infiniti,ex35,2008,297.0,6.0,automatic,midsize,4dr suv,17,24,31900
dodge,challenger,2016,375.0,8.0,manual,large,coupe,15,23,35995
nissan,versa,2015,109.0,4.0,manual,compact,sedan,27,36,11990
aston martin,vanquish,2016,568.0,12.0,automatic,midsize,coupe,13,21,287650
lincoln,ls,2005,280.0,8.0,automatic,midsize,sedan,16,22,40190
bmw,activehybrid 7,2015,335.0,6.0,automatic,large,sedan,22,30,84300
gmc,s-15,1990,105.0,4.0,manual,compact,regular cab pickup,21,25,2000
kia,sephia,2001,125.0,4.0,automatic,compact,sedan,19,28,13420
ford,expedition,2016,365.0,6.0,automatic,large,4dr suv,15,21,57795
bmw,4 series,2017,248.0,4.0,automatic,midsize,coupe,23,33,44150
toyota,tundra,2017,381.0,8.0,automatic,large,crew cab pickup,13,17,44195
hummer,h3t,2010,300.0,8.0,automatic,compact,crew cab pickup,13,16,35680
pontiac,montana,2005,185.0,6.0,automatic,midsize,passenger minivan,16,23,26040
volkswagen,rabbit,2008,170.0,5.0,automatic,compact,4dr hatchback,21,29,18650
lincoln,mkt,2016,365.0,6.0,automatic,large,wagon,15,21,45365
mazda,3,2016,155.0,4.0,automatic,compact,sedan,30,41,21095
maserati,ghibli,2016,404.0,6.0,automatic,midsize,sedan,16,24,78550
gmc,acadia,2016,281.0,6.0,automatic,midsize,4dr suv,15,22,41020
dodge,durango,2017,295.0,6.0,automatic,large,4dr suv,18,25,43995
ford,fusion,2017,175.0,4.0,automatic,midsize,sedan,21,32,23610
volkswagen,golf gti,2015,210.0,4.0,manual,compact,2dr hatchback,25,34,27785
mazda,b-series truck,2007,207.0,6.0,manual,compact,extended cab pickup,15,19,22045
lincoln,mkx,2017,303.0,6.0,automatic,midsize,4dr suv,17,25,45560
toyota,rav4 hybrid,2017,194.0,4.0,automatic,midsize,4dr suv,34,30,32185
chevrolet,celebrity,1990,135.0,6.0,automatic,midsize,wagon,17,27,2000
honda,accord,2016,278.0,6.0,manual,midsize,coupe,18,28,31025
hyundai,excel,1994,81.0,4.0,manual,compact,2dr hatchback,24,33,2000
honda,crosstour,2014,278.0,6.0,automatic,midsize,4dr hatchback,19,28,35140
dodge,charger,2017,370.0,8.0,automatic,large,sedan,16,25,39890
kia,optima,2015,192.0,4.0,automatic,midsize,sedan,23,34,25790
cadillac,srx,2014,308.0,6.0,automatic,midsize,4dr suv,17,24,48145
hyundai,elantra touring,2010,138.0,4.0,manual,compact,4dr hatchback,23,31,15995
infiniti,qx80,2015,400.0,8.0,automatic,large,4dr suv,14,20,66350
volkswagen,jetta,2016,170.0,4.0,automatic,midsize,sedan,25,36,25380
buick,envision,2017,197.0,4.0,automatic,midsize,4dr suv,21,28,37720
cadillac,cts wagon,2013,270.0,6.0,automatic,midsize,wagon,18,26,39205
chevrolet,camaro,2017,455.0,8.0,manual,midsize,convertible,16,25,42905
mitsubishi,raider,2009,210.0,6.0,automatic,compact,crew cab pickup,15,20,26295
buick,verano,2017,180.0,4.0,automatic,midsize,sedan,21,31,21065
volkswagen,gti,2013,200.0,4.0,automated_manual,compact,4dr hatchback,24,33,25895
aston martin,dbs,2012,510.0,12.0,manual,midsize,coupe,11,17,275461
chevrolet,silverado 1500,2016,355.0,8.0,automatic,large,crew cab pickup,16,23,49740
honda,passport,2001,205.0,6.0,automatic,midsize,4dr suv,15,19,30500
volvo,xc90,2016,316.0,4.0,automatic,large,4dr suv,20,25,53800
lincoln,mark lt,2008,300.0,8.0,automatic,large,crew cab pickup,12,16,38615
bmw,5 series,2016,255.0,6.0,automatic,large,sedan,26,37,59650
plymouth,voyager,1999,150.0,4.0,automatic,midsize,passenger minivan,18,24,2000
mercedes-benz,clk-class,2007,268.0,6.0,automatic,compact,coupe,17,25,46200
hyundai,xg300,2001,192.0,6.0,automatic,midsize,sedan,17,25,23499
maserati,coupe,2006,390.0,8.0,manual,compact,coupe,12,17,79900
